continent,country,network,netmask,src_addr,dst_addr,next_hop,input_iface,output_iface,pkts_sent,bytes_sent,start_time,end_time,src_port,dst_port,ip_proto,tos,src_as,dst_as,src_mask,dst_mask,tcp_flag_ACK,tcp_flag_CWR,tcp_flag_ECE,tcp_flag_FIN,tcp_flag_PSH,tcp_flag_RST,tcp_flag_SYN,tcp_flag_URG,flow_time
UNK,UNK,192.168.2.0,16,192.168.2.116,224.0.0.251,0.0.0.0,0,0,1,67,1970-01-02 07:03:01,1970-01-02 07:03:01,5353,5353,UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
UNK,UNK,192.168.2.0,16,192.168.2.185,192.168.100.150,0.0.0.0,0,0,1,62,1970-01-02 07:19:45,1970-01-02 07:19:59,52431,53,UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
UNK,UNK,192.168.100.0,16,192.168.100.150,192.168.2.185,0.0.0.0,0,0,1,94,1970-01-02 07:19:45,1970-01-02 07:19:59,53,52431,UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
UNK,UNK,192.168.2.0,16,192.168.2.185,192.168.100.150,0.0.0.0,0,0,1,62,1970-01-02 15:24:37,1970-01-02 15:24:44,53223,53,UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
UNK,UNK,192.168.100.0,16,192.168.100.150,192.168.2.185,0.0.0.0,0,0,1,94,1970-01-02 15:24:37,1970-01-02 15:24:44,53,53223,UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
UNK,UNK,192.168.2.0,16,192.168.2.185,192.168.100.150,0.0.0.0,0,0,1,62,1970-01-02 15:41:19,1970-01-02 15:41:24,51084,53,UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
UNK,UNK,192.168.100.0,16,192.168.100.150,192.168.2.185,0.0.0.0,0,0,1,94,1970-01-02 15:41:19,1970-01-02 15:41:24,53,51084,UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
UNK,UNK,192.168.2.0,16,192.168.2.185,192.168.2.116,0.0.0.0,0,0,2,440,1970-01-05 21:00:24,1970-01-06 13:40:24,36151,6006,UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,60000.0
UNK,UNK,192.168.2.0,16,192.168.2.1,192.168.2.185,0.0.0.0,0,0,1,338,1970-01-10 13:37:38,1970-01-10 13:37:43,67,68,UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
UNK,UNK,192.168.2.0,16,192.168.2.185,192.168.2.1,0.0.0.0,0,0,1,328,1970-01-10 13:37:38,1970-01-10 13:37:43,68,67,UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
UNK,UNK,192.168.2.0,16,192.168.2.185,192.168.2.116,0.0.0.0,0,0,2,248,1970-01-10 17:29:55,1970-01-14 05:00:24,36151,6006,UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,300629.0
UNK,UNK,192.168.2.0,16,192.168.2.116,192.168.2.185,0.0.0.0,0,0,1216,102144,1970-01-02 05:13:46,1970-01-16 06:43:43,0,2048,ICMP,0,0,0,0,0,0,0,0,0,0,0,0,0,1214997.0
UNK,UNK,192.168.2.0,16,192.168.2.185,192.168.2.116,0.0.0.0,0,0,1216,102144,1970-01-02 05:13:46,1970-01-16 06:43:44,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0,0,0,1214998.0
UNK,UNK,10.0.0.0,8,10.0.0.0,224.0.0.1,0.0.0.0,0,0,2,92,1970-01-01 00:13:28,1970-01-01 02:10:08,0,0,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,7000.0
UNK,UNK,192.168.2.0,16,192.168.2.116,192.168.2.185,0.0.0.0,0,0,22,1624,2106-02-07 06:28:15,1970-01-16 06:57:27,56219,22,TCP,0,0,0,0,0,1,0,0,0,1,0,0,0,-4293646248.0
UNK,UNK,192.168.2.0,16,192.168.2.185,192.168.2.116,0.0.0.0,0,0,12,1296,2106-02-07 06:28:15,1970-01-16 06:57:27,22,56219,TCP,0,0,0,0,0,1,0,0,0,1,0,0,0,-4293646248.0
