continent,country,network,netmask,src_addr,dst_addr,next_hop,input_iface,output_iface,pkts_sent,bytes_sent,start_time,end_time,src_port,dst_port,ip_proto,tos,src_as,dst_as,src_mask,dst_mask,tcp_flag_ACK,tcp_flag_CWR,tcp_flag_ECE,tcp_flag_FIN,tcp_flag_PSH,tcp_flag_RST,tcp_flag_SYN,tcp_flag_URG,flow_time
EU,GB,92.6.84.5,11,92.6.85.157,100.10.20.4,0.0.0.0,0,0,1,46,2014-08-10 04:08:56,2014-08-10 04:08:56,1552,80,TCP,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
EU,RO,89.44.100.151,15,89.44.100.151,100.10.20.4,0.0.0.0,0,0,1,46,2014-08-10 06:13:36,2014-08-10 06:13:36,1563,80,TCP,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
EU,RO,89.44.100.157,15,89.44.100.157,100.10.20.4,0.0.0.0,0,0,1,46,2014-08-10 10:29:58,2014-08-10 10:29:58,1595,80,TCP,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
EU,RO,89.44.100.157,15,89.44.100.157,100.10.20.4,0.0.0.0,0,0,1,46,2014-08-10 10:29:58,2014-08-10 10:29:58,1580,80,TCP,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
EU,RO,89.44.100.128,15,89.44.100.160,100.10.20.4,0.0.0.0,0,0,1,46,2014-08-10 13:36:42,2014-08-10 13:36:42,1550,80,TCP,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
NoA,US,100.30.0.65,11,100.30.1.105,100.10.20.4,0.0.0.0,0,0,1,46,2014-08-10 16:30:58,2014-08-10 16:30:58,43312,80,TCP,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
EU,GB,92.6.84.3,11,92.6.85.155,100.10.20.4,0.0.0.0,0,0,6,533,2014-08-10 06:45:42,2014-08-11 00:17:56,1812,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,63134.0
NoA,US,100.10.20.4,11,100.10.20.4,92.6.85.155,0.0.0.0,0,0,4,3109,2014-08-10 06:45:42,2014-08-11 00:17:56,80,1812,TCP,0,0,0,0,0,1,0,0,0,1,0,1,0,63134.0
EU,GB,92.6.84.7,11,92.6.85.159,100.10.20.4,0.0.0.0,0,0,5,488,2014-08-10 09:14:33,2014-08-11 01:55:37,1825,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,60064.0
NoA,US,100.10.20.4,11,100.10.20.4,92.6.85.159,0.0.0.0,0,0,2,1337,2014-08-10 09:14:33,2014-08-11 01:55:37,80,1825,TCP,0,0,0,0,0,1,0,0,0,1,0,1,0,60064.0
NoA,US,100.10.20.4,11,100.10.20.4,100.30.1.105,0.0.0.0,0,0,2,1375,2014-08-10 19:39:35,2014-08-11 13:15:03,80,43644,TCP,0,0,0,0,0,1,0,0,0,1,0,1,0,63328.0
NoA,US,100.30.0.65,11,100.30.1.105,100.10.20.4,0.0.0.0,0,0,5,565,2014-08-10 19:39:35,2014-08-11 13:15:03,43644,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,63328.0
NoA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,6,568,2014-08-11 13:12:20,2014-08-11 13:30:07,80,32510,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,1067.0
UNK,UNK,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2014-08-11 13:12:20,2014-08-11 13:30:07,32510,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,1067.0
NoA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,6,568,2014-08-11 14:03:45,2014-08-11 14:20:33,80,32523,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,1008.0
UNK,UNK,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2014-08-11 14:03:45,2014-08-11 14:20:33,32523,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,1008.0
EU,GB,92.6.84.6,11,92.6.85.158,100.10.20.4,0.0.0.0,0,0,149,15144,2014-08-10 06:02:44,2014-08-11 15:14:06,1782,80,TCP,0,0,0,0,0,1,0,0,0,1,1,0,0,119482.0
NoA,US,100.10.20.4,11,100.10.20.4,92.6.85.158,0.0.0.0,0,0,234,327039,2014-08-10 06:02:44,2014-08-11 15:14:06,80,1782,TCP,0,0,0,0,0,1,0,0,0,1,0,0,0,119482.0
EU,GB,92.6.84.6,11,92.6.85.158,100.10.20.4,0.0.0.0,0,0,131,10853,2014-08-10 18:38:31,2014-08-11 15:14:06,2060,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,74135.0
NoA,US,100.10.20.4,11,100.10.20.4,92.6.85.158,0.0.0.0,0,0,206,294595,2014-08-10 18:38:31,2014-08-11 15:14:06,80,2060,TCP,0,0,0,0,0,1,0,0,0,1,0,1,0,74135.0
NoA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,6,568,2014-08-11 14:54:11,2014-08-11 15:11:02,80,32549,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,1011.0
UNK,UNK,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2014-08-11 14:54:11,2014-08-11 15:11:02,32549,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,1011.0
NoA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,6,568,2014-08-11 15:44:40,2014-08-11 16:01:32,80,32575,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,1012.0
UNK,UNK,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2014-08-11 15:44:40,2014-08-11 16:01:32,32575,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,1012.0
NoA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,7,620,2014-08-11 16:35:10,2014-08-11 16:52:02,80,32587,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,1012.0
UNK,UNK,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2014-08-11 16:35:10,2014-08-11 16:52:02,32587,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,1012.0
NoA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,7,620,2014-08-11 17:25:40,2014-08-11 17:42:33,80,32605,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,1013.0
UNK,UNK,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2014-08-11 17:25:40,2014-08-11 17:42:33,32605,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,1013.0
NoA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,6,568,2014-08-11 18:16:11,2014-08-11 18:33:23,80,32638,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,1032.0
UNK,UNK,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2014-08-11 18:16:11,2014-08-11 18:33:23,32638,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,1032.0
NoA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,6,568,2014-08-11 19:07:01,2014-08-11 19:23:53,80,32667,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,1012.0
UNK,UNK,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2014-08-11 19:07:01,2014-08-11 19:23:53,32667,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,1012.0
EU,GB,92.6.84.6,11,92.6.85.158,100.10.20.4,0.0.0.0,0,0,19,3110,2014-08-11 04:37:37,2014-08-12 01:22:49,2159,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,74712.0
NoA,US,100.10.20.4,11,100.10.20.4,92.6.85.158,0.0.0.0,0,0,18,18844,2014-08-11 04:37:37,2014-08-12 01:22:49,80,2159,TCP,0,0,0,0,0,1,0,0,0,1,0,1,0,74712.0
EU,GB,92.6.84.6,11,92.6.85.158,100.10.20.4,0.0.0.0,0,0,39,2809,2014-08-11 04:38:05,2014-08-12 01:22:49,2160,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,74684.0
NoA,US,100.10.20.4,11,100.10.20.4,92.6.85.158,0.0.0.0,0,0,67,95824,2014-08-11 04:38:05,2014-08-12 01:22:49,80,2160,TCP,0,0,0,0,0,1,0,0,0,1,0,1,0,74684.0
NoA,US,100.10.20.3,11,100.10.20.3,100.10.20.10,0.0.0.0,0,0,2,92,2014-08-10 02:26:35,2014-08-10 02:26:36,1026,3124,TCP,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0
NoA,US,100.10.20.2,11,100.10.20.10,100.10.20.3,0.0.0.0,0,0,2,92,2014-08-10 02:26:35,2014-08-10 02:26:36,3124,1026,TCP,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0
NoA,US,100.10.20.3,11,100.10.20.3,100.10.20.20,0.0.0.0,0,0,16,13673,2014-08-10 03:11:28,2014-08-10 03:11:39,3306,35416,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,11.0
NoA,US,100.10.20.4,11,100.10.20.20,100.10.20.3,0.0.0.0,0,0,14,835,2014-08-10 03:11:28,2014-08-10 03:11:39,35416,3306,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,11.0
